search_keyword,search_cnt,click_cnt,click_rate
한시 오분,695,469,0.6748
함께,268,181,0.6754
태풍,302,204,0.6755
그건 아마 우리의 잘못은 아닐 거야,151,102,0.6755
슬픔이여 안녕,170,115,0.6765
다신 사랑하지 않을 다짐,127,86,0.6772
이방인,124,84,0.6774
나는 보기 원하네,143,97,0.6783
매일매일,115,78,0.6783
talk,137,93,0.6788
해야,436,296,0.6789
나나나,109,74,0.6789
boyfriend,215,146,0.6791
빅뱅 biiig,106,72,0.6792
9월 24일,106,72,0.6792
love love love,1011,687,0.6795
fiction,156,106,0.6795
annie,150,102,0.68
꺼져 줄게 잘 살아,216,147,0.6806
비비드라라러브,119,81,0.6807
잘 지내길 바래,307,209,0.6808
삐그덕,138,94,0.6812
피었습니다,182,124,0.6813
멜로우,113,77,0.6814
요즘,110,75,0.6818
maybe,129,88,0.6822
beige coat,126,86,0.6825
시나리오,126,86,0.6825
핑,123,84,0.6829
오늘 뭐 했는지 말해봐,123,84,0.6829
